year_created,packages,resources
2011,1209,2473
2012,46,114
2013,50,121
2014,51,137
2015,54,133
2016,79,218
2017,86,300
2018,69,177
2019,54,124
2020,268,7804
2021,183,472
2022,68,482
2023,40,425
2024,50,423
2025,67,1005
2026,31,3089
